BTTR,MULN,SPCB,VIVK,LINK,BTCS
0,-0.625,0.8,0,0,0.111111059
0,0,0.222222222,0,0,0.099999958
0,0,0,0,0,0.818181888
0,1.666666667,0,0,0,0.099999958
0,0,0.363636364,0,0,-0.318181792
0,-0.5,0,0,0,0
0,0,0,0,0,0
0,0,0,0.250000078,-0.950000524,0
0,-0.1,0,0,19.00020966,-0.333333333
0,0,0,0,0,0
0,0.888888889,0,0,0,0
1,-0.264705882,0,0,0,0.099999958
2.5,-0.2,0,0,0,0.090909152
-0.571428571,-0.15,0,0,0.099998963,0
0,0.176470588,0.133333333,0,0,0
0,-0.2,0,0,0,0
0,0,0,0,0,0
0,0,-0.117647059,0,0,0
0,0,0,0,0,0
-0.333333333,0,0,0,0.090909616,0.166666681
0,1.125,0,0,0,0
0,-0.529411765,0,0.1,0,0
0,1.1875,0,0,0,0
0,-0.428571429,0,0,0,0.357142846
0,0,0,0,0,0
0,-0.2,0,0,0,0
0,0.25,0,0,0,0
0,0.25,0,0,0,0
0,0,0,0,0,-0.210526333
0,0,0,0,0,0
0,0,0,0,0,-0.333333333
0,0,0,0,0,0
0,0,0,0,0,0.200000021
0,0,0,0,0,-0.166666681
0,0,0,0,0,0
0,-0.28,0,0,0.126666201,0
0,0.388888889,0,0,0,0
0,-0.32,0,0,-0.008875695,0
-0.5,0.470588235,0,0,0,0
1,0,0,0.014545429,-0.089552318,-0.299999979
0,0,0,0,0.03606642,0.857142771
0,0,0,-0.014336893,0,-0.153846173
0,0,0,0,0,0
0,0,0,0,0,0
0,0,-0.466666667,0,0,0
0,-0.28,1,0,-0.034810915,0
0,0.388888889,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0.104918902,0
0,0,0,0,0.001483306,0
0,0,0,0,0.037036672,0
0,0,0,0,0,0
0,0,0,0,0.007143236,-0.36363632
0,0,0,0,0,0
0,0,0,0,0,0
0,-0.28,0,0,0,0
0,0.388888889,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
