BTTR,MULN,VIVK,LINK,ABVC,CODA,NCPL,TGTX,COSM,OPXS,SPCB,BLFS,RCAT,TOMZ,MARA,BBY,BVFL,NVO,RSG
0,-0.625,0,0,0,-0.35714283,0,0,0,0.500000132,0.8,0,-0.285714286,0,0,-0.019003132,0,-0.012824884,-0.005444583
0,0,0,0,0.388888994,0.055555549,0,0,0,0.333333216,0.222222222,0.400000051,0,0,0,0.009040185,-0.078125029,0.014117216,0.007299481
0,0,0,0,0,0,0,0,0,0,0,0.285714251,0,0,0,0.033276302,0.063559425,-0.005209537,0.008695725
0,1.666666667,0,0,-0.424000011,0,-0.5,0,0,0,0,0,0,0,0,0.016515362,0,0.030563052,-0.003591969
0,0,0,0,0,0,0,0.800000085,0,0.249999934,0.363636364,0.111111101,0,0,0,0.004061604,0,-0.008747001,0.001441739
0,-0.5,0,0,0.736111144,0,0,0.027777706,0,0.400000127,0,0,0,0,0,0.003640646,0,-0.017060133,-0.017278415
0,0,0,0,0,0,0,0,0,0,0,-0.5,0.2,0,0,-0.002015404,0,0.006326868,0.031868019
0,0,0.250000078,-0.950000524,0,-0.052631573,0,0,0,-0.1428571,0,0.400000051,0,0,0,-0.018981885,0,-0.012404718,-0.015619729
0,-0.1,0,19.00020966,0,-0.444444451,0,0,0,0.166666608,0,0.428571376,-0.166666667,0,0,0.006998921,0,0.022367578,-0.007933174
0,0,0,0,0,0,0,0,-0.509803912,0,0,0,0,0,0,0.029026652,0.051792773,0.015651519,0.005452232
0,0.888888889,0,0,0,0,0,0.621621659,0,0.285714426,0,0,0,0,0,-0.002780764,0,0.006047945,0.010846036
1,-0.264705882,0,0,0.04,0,0,0,-0.6,0.777777517,0,-0.099999991,-0.2,0.333333333,0,-0.003984236,0,-0.01910564,0.005007036
2.5,-0.2,0,0,-0.038461538,0,0,0,3,-0.062500016,0,-0.55555555,0,0,0,0.027599585,0,-0.010578493,0.009964614
-0.571428571,-0.15,0,0.099998963,0,0,1,0,0,-0.133333371,0,0.499999947,0,0,0,-0.012845074,-0.0719697,0.001103235,-0.001057156
0,0.176470588,0,0,-0.04,0,0,0,0,-0.07692294,0.133333333,0,1,0,0,0.013800955,0,0.008984518,0.007407406
0,-0.2,0,0,0,-0.400000011,0,0,0,-0.249999956,0,0.166666726,-0.125,0,0,-0.026837808,0,0.008316523,0.004551994
0,0,0,0,0,0,0,0,0,0.333333255,0,0,-0.142857143,0,0,0.016786753,0,-0.024743788,0.009062226
0,0,0,0,0.083333333,0,0,0,0,0.083333172,-0.117647059,0,-0.166666667,0,0,-0.002358473,0,-0.007346687,0.004145197
0,0,0,0,0,1.333333304,0,0,0,0.076923183,0,0,0,0,0,-0.056343655,0,0.025645443,0.007223605
-0.333333333,0,0,0.090909616,-0.076923077,0.28571434,0,-0.25,0,-0.071428663,0,0,0,0,0,0.009603162,0.073469563,0.013005421,0.024932043
0,1.125,0,0,0,-0.333333353,0,0,0,0.076923183,0,0.142857125,0,0,0,0.004962954,0,0.039923963,-0.011996021
0,-0.529411765,0.1,0,0.083333333,-0.166666652,0,0,0,0,0,-0.250000027,0.4,0,0,-0.018106861,0,0.030744727,0.013153383
0,1.1875,0,0,0,0,0,5.666666667,0,0.071428512,0,0,0,0,0,0.03394788,0,0.000386192,-0.001997151
0,-0.428571429,0,0,0,0,-0.5,0.083333333,0,-0.066666615,0,0,0.142857143,0,0,0.02877999,-0.011406915,0.038930922,-0.008672696
0,0,0,0,0,-0.579999997,2,0,0,0,0,0,0,0,0,0.000787916,0,0.005278889,0.008075767
0,-0.2,0,0,0,0,0,0.076923077,0,0,0,0,0,0,0,-0.001968489,0,-0.001405199,0.004338958
0,0.25,0,0,0,0,0,0.142857143,0,0,0,0,0,0,0,-0.010650607,0,-0.003851382,0.001993994
0,0.25,0,0,0,0,0,-0.2,0,0,0,0,0,0,0,0.005183475,0,0.019256683,0.009950291
0,0,0,0,-0.446153857,0.428571392,0,0.84375,0,0,0,0,0,0,0,0.011106415,0.057692301,-0.007950938,-0.009523962
0,0,0,0,0,-0.333333304,0,-0.406779661,0,0.071428512,0,0.66666669,-0.25,0,0,-0.005492409,0,0.015514733,-0.011936279
0,0,0,0,0,0,0,-0.142857143,0,0,0,0,0,0,0,0.020512869,0,0.000868593,-0.003691258
0,0,0,0,0,0,0,0.433333333,0,0.266666601,0,0.099999991,0.333333333,0,0,-0.006184921,0,-0.001085095,-0.003031533
0,0,0,0,0,0,0,-0.418604651,0,0.315789468,0,0,0,0,0,0.007779414,0,0.00123117,0.004392306
0,0,0,0,0,0,0,0,0,0.200000067,0,0.090909084,0,0,0,-0.032033915,0,0.005569853,0.001345153
0,0,0,0,0,0,0,-0.16,0,0,0,-0.33333331,-0.375,0,0,0.004385626,0,0.027693833,0.002351469
0,-0.28,0,0.126666201,0,0,0,-0.19047619,0,0,0,0,0.6,0,0,-0.007939499,0,0.003989432,0
0,0.388888889,0,0,0,0,0,0,0,-0.066666615,0,0,0,0,0,0.000800314,0,-0.008714237,-0.001340521
0,-0.32,0,-0.008875695,0,0.249999967,0,0.176470588,0,0,0,0,-0.25,0,0,0.021191465,0,0.016808368,-0.00604036
