BTTR,MULN,VIVK,ABVC,CODA,SPCB,LINK,QUBT,BLFS,HROW,BTCS,AYTU,MIGI,OGEN,IOVA,NTRP,TILE,CDE,ESSA,PETS
0,-0.625,0,0,-0.35714283,0.8,0,0,0,0,0.111111059,0,0,-0.081818182,-0.02,0,-0.023176197,0.010264518,-0.017608653,-0.027724821
0,0,0,0.388888994,0.055555549,0.222222222,0,0,0.400000051,0,0.099999958,0,0,0.089108911,-0.071428571,-0.076923077,0.001757748,0.009769441,-0.004716992,0.016715736
0,0,0,0,0,0,0,-0.333333289,0.285714251,0,0.818181888,0,0,0.227272727,0.010989011,-0.099999984,-0.039473553,-0.007739968,-0.017061515,0.010638556
0,1.666666667,0,-0.424000011,0,0,0,0.6666666,0,0,0.099999958,0,0,0,0,-0.018518501,-0.011872772,-0.00507017,0,0.009569226
0,0,0,0,0,0.363636364,0,0,0.111111101,-0.125000028,-0.318181792,0,0,0,0.086956522,0,0.024029981,0.039200313,-0.003857686,-0.003791195
0,-0.5,0,0.736111144,0,0,0,1,0,0,0,0,0,0,0.08,-0.056603808,0.00180515,-0.021878533,-0.002903913,0.003805623
0,0,0,0,0,0,0,0,-0.5,0.428571453,0,0,0,-0.074074074,0.083333333,0,0.040540501,0.016968782,0.019417524,0.00379153
0,0,0.250000078,0,-0.052631573,0,-0.950000524,-0.25,0.400000051,0,0,0,0,0,-0.017094017,0,-0.009524131,-0.02313237,0,0.021718434
0,-0.1,0,0,-0.444444451,0,19.00020966,0.333333333,0.428571376,0,-0.333333333,0,0,0,-0.086956522,0,0.02797232,-0.001941038,0.007618698,0.012938918
0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0.00952381,0,0.039116015,0.029560492,0.009451936,0.003649759
0,0.888888889,0,0,0,0,0,0.333333333,0,-0.100000024,0,0,0,0.016,0.08490566,0,0.031914761,-0.005666778,-0.018726641,0.007272845
1,-0.264705882,0,0.04,0,0,0,-0.25,-0.099999991,-0.222222215,0.099999958,0,0,0.062992126,-0.086956522,0.2,0.015067115,0.003799407,-0.005725391,0.017147859
2.5,-0.2,0,-0.038461538,0,0,0,-0.599999984,-0.55555555,0,0.090909152,0,0,-0.111111111,0.095238095,0,-0.00781242,0.014761521,0,0.110026837
-0.571428571,-0.15,0,0,0,0,0.099998963,1.499999901,0.499999947,-0.142857094,0,0,0,0,0.017391304,-0.300000032,0.003149358,-0.008951875,-0.002878832,0.008793008
0,0.176470588,0,-0.04,0,0.133333333,0,-0.133333365,0,0,0,0,0,0,-0.051282051,0.190476245,0.018053591,0.06473471,-0.00096242,-0.031695892
0,-0.2,0,0,-0.400000011,0,0,0.538461595,0.166666726,-0.1666667,0,0,0,0,-0.009009009,-0.180000019,0.008480991,-0.006362683,0.00192716,-0.009819837
0,0,0,0,0,0,0,0,0,0.600000024,0,0,0,0,-0.045454545,0.097561001,0.016055254,0.030594048,-0.001923453,-0.001653241
0,0,0,0.083333333,0,-0.117647059,0,-0.399999976,0,0.124999953,0,0,0,0,0,0.17777782,-0.006771971,-0.014152567,-0.011560863,0.038080007
0,0,0,0,1.333333304,0,0,1.083333251,0,0,0,0,0,0,0,-0.188679238,0.006060687,-0.031512592,-0.018518087,-0.004784793
-0.333333333,0,0,-0.076923077,0.28571434,0,0.090909616,0,0,0,0.166666681,0,0,0,-0.057142857,0.046511581,-0.007530042,0.014099761,0.002978949,0.003205009
0,1.125,0,0,-0.333333353,0,0,-0.280000019,0.142857125,0,0,0,0,0,0.060606061,0,0.006828168,0.014260304,0.011881361,0.015974303
0,-0.529411765,0.1,0.083333333,-0.166666652,0,0,0.111111141,-0.250000027,0,0,0,0,-0.108333333,0,-0.111111111,0.024114473,0.004920892,0.049901868,-0.007861401
0,1.1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.004414935,-0.011192714,-0.028891215,-0.02060196
0,-0.428571429,0,0,0,0,0,0,0,-0.222222215,0.357142846,0,0,0,0,-0.111111111,-0.002930018,-0.006367184,-0.02111298,-0.001618463
0,0,0,0,-0.579999997,0,0,-0.199999988,0,0,0,1.199999951,0,0.074766355,-0.057142857,0,-0.013225571,0.005695972,-0.005881966,-0.006562673
