SPCB,COSM,OPXS,PED,GMGI,ABVC,OGEN,CPSS,IESC,BVFL,TOMZ,POAI,BYRN,WKHS,ARMP,VIVK,BTCS,MIGI,COCP,BKYI,BTTR,QUBT,TGTX,AYTU,HROW,LINK,FPAY,INTZ,BHRB,WFCF,CODA,TROO,APDN,GTIM,WSBF,MULN,AIRI,QRHC,ACAD,IOR,ASTH,RCAT,SNFCA,CDMO,RIME,MLSS,MCVT,AXDX,SLS,HOV,NCPL,PHIO,RCON,SLNH,NTRP,BLFS,VUZI,PHM,IBCP,NEPH
0.8,0,0.500000132,0,-0.076923113,0,-0.081818182,0.063157898,0.0054054,0,0,0,0,-0.12244898,0.090909091,0,0.111111059,0,0,0,0,0,0,0,0,0,0,0,-0.003111294,0,-0.35714283,0,0,0,-0.015624859,-0.625,0,0,-0.018018001,-0.042857103,0,-0.285714286,0,-0.039999993,0,-0.220588286,0,0.02985079,-0.021276596,0.006451613,0,0,0.235294131,-0.074074074,0,0,0,0.00306743,0.022058999,0
0.222222222,0,0.333333216,0,0.083333375,0.388888994,0.089108911,0.009900981,-0.005376339,-0.078125029,0,0,0,-0.279069767,0.166666667,0,0.099999958,0,0,0.166666654,0,0,0,0,0,0,0,0,0,-0.184210522,0.055555549,-0.234848522,0,0.139344224,-0.021164385,0,0,0,0.009174303,0.022388038,0,0,-0.032895139,-0.010416594,-0.076923124,-0.056603723,0,-0.01449274,-0.043478261,0.006410256,0,0,-0.071428567,0.08,-0.076923077,0.400000051,0,0.07645257,-0.014388391,0
0,0,0,0.071428583,0.076923113,0,0.227272727,0.009803912,0.021621601,0.063559425,0,0,0.153846196,0.451612903,0,0,0.818181888,0,0,0.142857197,0,-0.333333289,0,0,0,0,0,0,0.01203793,0.290322559,0,0.069306983,0,0.043165513,0,0,0,0,0.045454501,-0.021897789,0,0,-0.040815469,-0.042105347,0,0.080000043,0,0.051470573,0.295454545,0.114649682,0,0,0.153846211,0.37037037,-0.099999984,0.285714251,0,0.008522807,0.014598439,0
0,0,0,0,0.028571441,-0.424000011,0,-0.029126187,0.037037065,0,0,-0.053571429,0.199999968,0,0,0,0.099999958,0,0,0,0,0.6666666,0,0,0,0,0,0,0,0,0,-0.157407417,0,-0.131034518,0.021622002,1.666666667,0,0,0.03478268,-0.044776165,0,0,0.01418411,0.010989034,0,0.259259222,-0.374999961,-0.034965034,0.157894737,0.12,-0.5,0,-0.022222259,-0.324324324,-0.018518501,0,0.2,0.021126766,0.007194196,0
0.363636364,0,0.249999934,0,0.388888842,0,0,0.070000052,-0.02551024,0,0,0,-0.055555504,-0.111111111,0,0,-0.318181792,0,0,0,0,0,0.800000085,0,-0.125000028,0,0,-0.586666679,-0.025991267,0,0,0.021978,0,0.087301599,-0.005291613,0,0.033898243,0.266666651,0.075630176,0.015624985,0,0,-0.006992901,0.043478252,0,0,0.599999901,-0.050724623,0.136363636,0.035714286,0,0,-0.090909124,0,0,0.111111101,0,0.012414019,0.050000182,0
0,0,0.400000127,0,0.09999997,0.736111144,0,-0.065420607,0.256544575,0,0,0,0.764705833,0.225,0,0,0,0,0,0,0,1,0.027777706,0,0,0,0,1.096774258,0.024423277,0.025000032,0,-0.032258098,0,-0.036496315,-0.053191398,-0.5,0,-0.078947357,0.023437478,-0.076923006,0,0,0.050000222,-0.041666659,0,-0.250000022,0,-0.007633617,-0.08,0.18226601,0,0,0,0,-0.056603808,0,0,0.049046031,-0.006802972,0.014492778
0,0,0,0,0.090909066,0,-0.074074074,0,0,0,0,0,0,-0.326530612,-0.214285714,0,0,0,0,0,0,0,0,0,0.428571453,0,0,0,0,0,0,-0.111111074,0,-0.053030341,0.039325991,0,0,0,0.007633672,0,0,0.2,0.056337196,0.010869588,0,0,0,-0.015384601,0.043478261,-0.045833333,0,0,0.200000079,0,0,-0.5,0,-0.001298818,-0.006849169,0.214285693
0,0,-0.1428571,0,0,0,0,0,-0.15000005,0,0,0,0,0.484848485,0.181818182,0.250000078,0,0,0,-0.125000041,0,-0.25,0,0,0,-0.950000524,0,0,0,0,-0.052631573,-0.08749999,0,0.127999973,-0.027026924,0,0,0,-0.045454591,0,0,0,0.133333596,-0.02150542,0.250000033,0.196078482,0.250000078,0,-0.055555556,0.026200873,0,0,-0.020833368,0.1,0,0.400000051,0,-0.009102432,-0.02758632,0.094117618
0,0,0.166666608,-0.400000023,0,0,0,0,0.034313693,0,0,0,0,-0.326530612,-0.076923077,0,-0.333333333,0,0,0.142857197,0,0.333333333,0,0,0,19.00020966,0,0,-0.011037356,0,-0.444444451,-0.054794549,0.166666667,-0.042553152,0.022222404,-0.1,0,-0.257142884,0.0079365,0.024999975,0,-0.166666667,-0.058823632,0,0,0,0,-0.015624985,0.029411765,-0.093617021,0,0,0.021276632,0,0,0.428571376,0.166666667,-0.015748104,0.028368914,0.043010712
0,-0.509803912,0,0,0,0,0,0,0.208530843,0.051792773,0,-0.271698113,0.166666667,0,-0.083333333,0,0,0,0,0,0,-0.25,0,0,0,0,0,-0.076923077,0,0,0,0.057971046,0,0.037037001,-0.027174408,0,0,-0.038461503,0.212598413,0.113821125,0,0,0,0.010989034,0,0,0,0.031746001,0.085714286,0.122065728,0,0,0,0,0,0,0,0.05866656,0.165517316,0.010309296
