LINK,QUBT,HROW,FPAY,RCAT,BTTR,VIVK,ABVC,PHIO,TGTX,SPCB,CODA,NCPL,COSM,AYTU,MULN,BTCS,MIGI,OGEN,COCP,ESSA
0,0,0,0,-0.285714286,0,0,0,0,0,0.8,-0.35714283,0,0,0,-0.625,0.111111059,0,-0.081818182,0,-0.017608653
0,0,0,0,0,0,0,0.388888994,0,0,0.222222222,0.055555549,0,0,0,0,0.099999958,0,0.089108911,0,-0.004716992
0,-0.333333289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.818181888,0,0.227272727,0,-0.017061515
0,0.6666666,0,0,0,0,0,-0.424000011,0,0,0,0,-0.5,0,0,1.666666667,0.099999958,0,0,0,0
0,0,-0.125000028,0,0,0,0,0,0,0.800000085,0.363636364,0,0,0,0,0,-0.318181792,0,0,0,-0.003857686
0,1,0,0,0,0,0,0.736111144,0,0.027777706,0,0,0,0,0,-0.5,0,0,0,0,-0.002903913
0,0,0.428571453,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.074074074,0,0.019417524
-0.950000524,-0.25,0,0,0,0,0.250000078,0,0,0,0,-0.052631573,0,0,0,0,0,0,0,0,0
19.00020966,0.333333333,0,0,-0.166666667,0,0,0,0,0,0,-0.444444451,0,0,0,-0.1,-0.333333333,0,0,0,0.007618698
0,-0.25,0,0,0,0,0,0,0,0,0,0,0,-0.509803912,0,0,0,0,0,0,0.009451936
0,0.333333333,-0.100000024,0,0,0,0,0,0,0.621621659,0,0,0,0,0,0.888888889,0,0,0.016,0,-0.018726641
0,-0.25,-0.222222215,0,-0.2,1,0,0.04,0,0,0,0,0,-0.6,0,-0.264705882,0.099999958,0,0.062992126,0,-0.005725391
0,-0.599999984,0,0,0,2.5,0,-0.038461538,0,0,0,0,0,3,0,-0.2,0.090909152,0,-0.111111111,0,0
0.099998963,1.499999901,-0.142857094,-0.5625,0,-0.571428571,0,0,0,0,0,0,1,0,0,-0.15,0,0,0,0,-0.002878832
0,-0.133333365,0,-0.571428571,1,0,0,-0.04,0,0,0.133333333,0,0,0,0,0.176470588,0,0,0,0,-0.00096242
0,0.538461595,-0.1666667,0.333333333,-0.125,0,0,0,0,0,0,-0.400000011,0,0,0,-0.2,0,0,0,0,0.00192716
0,0,0.600000024,-0.050000012,-0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001923453
0,-0.399999976,0.124999953,-0.210526306,-0.166666667,0,0,0.083333333,0,0,-0.117647059,0,0,0,0,0,0,0,0,0,-0.011560863
0,1.083333251,0,0.933333397,0,0,0,0,0,0,0,1.333333304,0,0,0,0,0,0,0,0,-0.018518087
0.090909616,0,0,0.793103324,0,-0.333333333,0,-0.076923077,0,-0.25,0,0.28571434,0,0,0,0,0.166666681,0,0,0,0.002978949
0,-0.280000019,0,0,0,0,0,0,0,0,0,-0.333333353,0,0,0,1.125,0,0,0,0,0.011881361
0,0.111111141,0,0,0.4,0,0.1,0.083333333,0,0,0,-0.166666652,0,0,0,-0.529411765,0,0,-0.108333333,0,0.049901868
0,0,0,-0.711538451,0,0,0,0,0,5.666666667,0,0,0,0,0,1.1875,0,0,0,0,-0.028891215
0,0,-0.222222215,0,0.142857143,0,0,0,0,0.083333333,0,0,-0.5,0,0,-0.428571429,0.357142846,0,0,0,-0.02111298
0,-0.199999988,0,0.133333365,0,0,0,0,0,0,0,-0.579999997,2,0,1.199999951,0,0,0,0.074766355,0,-0.005881966
0,0.249999981,0,0,0,0,0,0,0,0.076923077,0,0,0,0,0,-0.2,0,0,0,0,-0.01183437
0,0,0.142857179,0,0,0,0,0,0,0.142857143,0,0,0,0,0,0.25,0,0,0.043478261,0,-0.016966311
0,0,0.124999953,0,0,0,0,0,0,-0.2,0,0,0,0,0,0.25,0,0,0,0,0.015228281
0,0,0,0,0,0,0,-0.446153857,0,0.84375,0,0.428571392,0,0,0,0,-0.210526333,0,0.25,0,-0.016999707
0,-0.199999988,0,0,-0.25,0,0,0,0,-0.406779661,0,-0.333333304,0,0,0,0,0,0,0.2,0,0
0,0.249999981,0,0,0,0,0,0,0,-0.142857143,0,0,0,0,0,0,-0.333333333,0,0.25,0,0.010172903
0,0,0,0,0.333333333,0,0,0,0,0.433333333,0,0,0,0,0,0,0,0,0,0,-0.002014189
0,-0.199999988,-0.222222215,0,0,0,0,0,0,-0.418604651,0,0,0,0,0,0,0.200000021,0,-0.244444444,0,-0.021190659
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.166666681,0,0.323529412,0,-0.003092704
0,0.874999972,0,0,-0.375,0,0,0,0,-0.16,0,0,0,0,0,0,0,0.048387097,0,0,0.033091765
0.126666201,-0.466666659,0,0,0.6,0,0,0,0,-0.19047619,0,0,0,0,0,-0.28,0,-0.015384615,0,0,-0.009009262
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.388888889,0,0,-0.071111111,0.476000027,-0.002020049
-0.008875695,0.874999972,0,0,-0.25,0,0,0,0,0.176470588,0,0.249999967,0,0,0,-0.32,0,0,0,0,-0.015181922
0,-0.266666651,0,0,0.333333333,-0.5,0,0,0,-0.15,0,0,0,0,0,0.470588235,0,0,0,0,-0.011305282
-0.089552318,0.181818113,0,0,-0.375,1,0.014545429,0,0,-0.058823529,0,0,0,0,0,0,-0.299999979,0,0,0,-0.009355646
0.03606642,0,0,0,0,0,0,0,0,-0.168750021,0,5.800000128,0,0,0,0,0.857142771,0,-0.114832536,0,-0.00629581
0,-0.384615353,0,0,0,0,-0.014336893,0,0,0,0,-0.411764717,0,0,0,0,-0.153846173,0,-0.027027027,0,0
