BTTR,MULN,VIVK,ABVC,CODA,LINK,QUBT,BLFS,HROW,FPAY,SPCB,AYTU,PED,AIRI,INTZ,ESSA,BTCS,MIGI,OGEN,QRHC,ACAD
0,-0.625,0,0,-0.35714283,0,0,0,0,0,0.8,0,0,0,0,-0.017608653,0.111111059,0,-0.081818182,0,-0.018018001
0,0,0,0.388888994,0.055555549,0,0,0.400000051,0,0,0.222222222,0,0,0,0,-0.004716992,0.099999958,0,0.089108911,0,0.009174303
0,0,0,0,0,0,-0.333333289,0.285714251,0,0,0,0,0.071428583,0,0,-0.017061515,0.818181888,0,0.227272727,0,0.045454501
0,1.666666667,0,-0.424000011,0,0,0.6666666,0,0,0,0,0,0,0,0,0,0.099999958,0,0,0,0.03478268
0,0,0,0,0,0,0,0.111111101,-0.125000028,0,0.363636364,0,0,0.033898243,-0.586666679,-0.003857686,-0.318181792,0,0,0.266666651,0.075630176
0,-0.5,0,0.736111144,0,0,1,0,0,0,0,0,0,0,1.096774258,-0.002903913,0,0,0,-0.078947357,0.023437478
0,0,0,0,0,0,0,-0.5,0.428571453,0,0,0,0,0,0,0.019417524,0,0,-0.074074074,0,0.007633672
0,0,0.250000078,0,-0.052631573,-0.950000524,-0.25,0.400000051,0,0,0,0,0,0,0,0,0,0,0,0,-0.045454591
0,-0.1,0,0,-0.444444451,19.00020966,0.333333333,0.428571376,0,0,0,0,-0.400000023,0,0,0.007618698,-0.333333333,0,0,-0.257142884,0.0079365
0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,-0.076923077,0.009451936,0,0,0,-0.038461503,0.212598413
0,0.888888889,0,0,0,0,0.333333333,0,-0.100000024,0,0,0,-0.333333333,0,0,-0.018726641,0,0,0.016,0,-0.090909084
1,-0.264705882,0,0.04,0,0,-0.25,-0.099999991,-0.222222215,0,0,0,1.333333396,0,0.083333333,-0.005725391,0.099999958,0,0.062992126,0,0.057142889
2.5,-0.2,0,-0.038461538,0,0,-0.599999984,-0.55555555,0,0,0,0,0.285714251,0,0,0,0.090909152,0,-0.111111111,0,-0.033783832
-0.571428571,-0.15,0,0,0,0.099998963,1.499999901,0.499999947,-0.142857094,-0.5625,0,0,-0.444444465,0,0,-0.002878832,0,0,0,0,0.006993084
0,0.176470588,0,-0.04,0,0,-0.133333365,0,0,-0.571428571,0.133333333,0,0.400000091,0,-0.015384601,-0.00096242,0,0,0,0,0.083333251
0,-0.2,0,0,-0.400000011,0,0.538461595,0.166666726,-0.1666667,0.333333333,0,0,-0.142857166,0,0,0.00192716,0,0,0,0,-0.019230752
0,0,0,0,0,0,0,0,0.600000024,-0.050000012,0,0,0.5,0,0.015624985,-0.001923453,0,0,0,0,0.045751669
0,0,0,0.083333333,0,0,-0.399999976,0,0.124999953,-0.210526306,-0.117647059,0,-0.111111132,0,0,-0.011560863,0,0,0,0.2,-0.043750032
0,0,0,0,1.333333304,0,1.083333251,0,0,0.933333397,0,0,0,0,0,-0.018518087,0,0,0,0,-0.013071883
-0.333333333,0,0,-0.076923077,0.28571434,0.090909616,0,0,0,0.793103324,0,0,-0.375000009,0,-0.21538463,0.002978949,0.166666681,0,0,0,0.059602671
